업체명,카테고리명,술집여부,시도명,시군구명,읍면동명,리명,번지,도로명,경도,위도,주차가능여부,운영시간0,운영시간1,운영시간2,운영시간3,운영시간4,운영시간5,10대,20대,30대,40대,50대,60+대
다금정,한식,0.0,부산광역시,강서구,대저2동,,1843-18,공항로811번길42,128.955632625752,35.1803115697983,Y,,,,,,,8,2,5,30,1,5
다해생선구이,한식,0.0,부산광역시,사하구,당리동,,41-4,제석로93번길2,128.977102353466,35.1082032381574,Y,,,,,,,6,1,2,26,1,4
뜨락전통해물칼국수,한식,0.0,부산광역시,기장군,장안읍,장안리,423,장안로367,129.243923680447,35.3700550577266,N,,,,,,,8,29,1,5,8,9
라무야,한식,0.0,부산광역시,남구,문현동,,736-3,전포대로91번길17,129.065562633292,35.14484289331,Y,,,,,,,9,4,8,6,2,0
로야 생선구이전문점,한식,0.0,부산광역시,사상구,감전동,,795-2,새벽시장로46번길9,128.978605060778,35.1550082354561,N,,,,,,,35,9,0,0,4,2
부산어묵 사상경전철점,한식,0.0,부산광역시,사상구,괘법동,,572-1,광장로83,128.985940736054,35.1623018179889,N,,,,,,,6,2,9,0,2,2
부전역연탄산꼼장어,한식,0.0,부산광역시,부산진구,양정동,,389-16,중앙대로909번길39,129.069289148785,35.1730544246387,N,,,,,,,7,6,5,3,7,34
불고기가맛있는비빔국수,한식,0.0,부산광역시,해운대구,중동,,181-1,좌동로63번길46,129.172286852356,35.1720109843713,N,,,,,,,3,8,1,7,8,9
AM보성 & 이모집PM,한식,0.0,부산광역시,사상구,학장동,,610-5,대동로149,128.983001955076,35.1411678237066,N,,,,,,,24,8,1,3,6,7
BS치킨,한식,0.0,부산광역시,중구,보수동1가,,65-16,법수길7,129.025754983273,35.104454171909,N,,,,,,,9,6,8,7,5,9
CH숯불치킨,한식,0.0,부산광역시,부산진구,부암동,,329-2,동평로127번길19,129.043106346337,35.167121183449,N,,,,,,,1,7,8,6,42,9
FARMERS,한식,0.0,부산광역시,해운대구,중동,,1501-23,달맞이길117번가길120-8,129.18046135492,35.157273529097,Y,,,,,,,2,43,22,7,8,25
780오까네포차,한식,1.0,부산광역시,중구,남포동6가,,3,자갈치로33,129.02768595727,35.0968825717827,N,,,,,,,8,7,0,0,4,1
